,altitude,distance
585,192.6,11525.1
586,192.6,11549.2
587,193.0,11560.8
588,193.4,11572.0
589,193.8,11582.6
590,194.6,11592.5
591,195.2,11602.2
592,196.0,11611.6
593,196.6,11620.5
594,197.4,11628.8
595,198.0,11636.4
596,198.8,11644.0
597,199.6,11651.4
598,200.2,11658.7
599,201.0,11666.3
600,201.8,11673.2
601,202.8,11680.1
602,203.6,11686.9
603,204.2,11693.5
604,204.8,11700.1
605,205.4,11706.7
606,206.2,11713.1
607,206.8,11719.4
608,207.4,11725.9
609,208.2,11732.2
610,208.8,11738.5
611,209.2,11758.6
612,209.8,11765.2
613,210.2,11772.2
614,210.6,11779.6
615,211.2,11786.9
616,211.2,11794.0
617,211.2,11847.5
618,211.6,11889.5
619,212.0,11897.9
620,212.6,11906.5
621,213.0,11915.4
622,213.4,11924.8
623,213.4,11993.4
624,213.4,12054.2
625,213.4,12074.8
626,213.4,12139.0
627,213.4,12205.1
628,213.4,12226.9
629,213.8,12278.2
630,214.4,12287.0
631,214.8,12296.1
632,215.4,12305.1
633,216.0,12314.2
634,216.6,12323.6
635,217.2,12332.5
636,217.8,12341.7
637,217.8,12381.4
638,217.8,12448.3
639,217.8,12516.8
640,217.8,12559.8
641,217.8,12625.7
642,217.8,12684.0
643,217.8,12753.6
644,217.8,12810.9
645,217.8,12880.5
646,218.2,12913.6
647,218.6,12924.6
648,219.0,12935.5
649,219.4,12946.6
650,219.8,12957.7
651,219.8,13016.8
652,219.8,13089.6
653,219.8,13159.3
654,220.4,13182.1
655,220.8,13192.5
656,221.2,13203.0
657,221.6,13213.5
658,222.2,13223.7
659,222.2,13291.6
660,222.2,13360.2
661,222.2,13383.9
662,222.2,13450.9
663,222.6,13506.3
664,223.0,13516.7
665,223.4,13527.6
666,223.8,13538.3
667,224.2,13549.2
668,224.2,13569.9
669,224.6,13590.4
670,225.2,13601.2
671,225.6,13610.9
672,226.0,13620.9
673,226.4,13630.9
674,226.0,13728.7
675,225.2,13742.7
676,224.2,13756.9
677,223.0,13771.5
678,221.8,13785.4
679,220.8,13800.4
680,219.6,13813.7
681,218.6,13827.6
682,217.4,13840.2
683,218.0,13853.0
684,218.4,13864.9
685,219.2,13876.2
686,219.8,13887.3
687,220.6,13897.9
688,221.4,13908.5
689,222.0,13919.4
690,222.0,13930.5
691,222.0,13980.3
692,221.2,13994.4
693,220.4,14008.4
694,219.6,14022.6
695,218.6,14036.5
696,217.8,14063.7
697,218.4,14102.7
698,218.8,14116.0
699,219.2,14129.4
700,219.6,14143.1
701,220.0,14156.3
702,220.0,14208.4
703,220.4,14231.3
704,220.8,14243.1
705,221.4,14253.5
706,221.8,14264.2
707,222.4,14274.9
708,223.0,14284.6
709,223.6,14295.2
710,224.2,14305.2
711,224.2,14368.9
712,224.2,14432.3
713,224.2,14496.0
714,224.2,14561.9
715,224.2,14584.6
716,224.6,14617.9
717,225.0,14628.7
718,225.4,14640.1
719,226.0,14651.4
720,226.4,14662.7
721,226.4,14697.5
722,226.4,14766.9
723,226.4,14837.2
724,225.8,14872.7
725,225.4,14885.5
726,224.8,14898.5
727,224.0,14911.5
728,223.2,14925.1
729,222.0,14938.9
730,221.0,14952.6
731,220.0,14966.1
732,218.8,14979.8
733,217.8,14993.3
734,217.8,15018.9
735,218.2,15042.7
736,218.6,15054.6
737,219.2,15066.1
738,219.6,15077.2
739,220.0,15088.3
740,220.6,15134.6
741,221.0,15147.7
742,221.4,15159.2
743,221.8,15171.0
744,222.2,15182.9
745,222.2,15194.8
746,222.2,15263.8
747,222.2,15300.1
748,222.2,15336.7
749,222.2,15350.1
750,221.8,15363.2
751,221.2,15375.8
752,220.8,15388.5
753,220.2,15401.8
754,219.8,15415.0
755,219.8,15428.1
756,219.8,15441.9
757,219.2,15469.3
758,218.8,15483.3
759,218.0,15498.0
760,217.0,15513.0
761,216.0,15528.3
762,215.0,15544.0
763,213.8,15561.0
764,212.8,15576.4
765,211.8,15593.0
766,210.6,15609.7
767,209.4,15626.8
768,208.2,15644.0
769,207.2,15661.3
770,206.2,15678.4
771,204.8,15696.3
772,203.6,15714.1
773,202.4,15731.8
774,201.2,15749.3
775,200.0,15766.2
776,198.8,15782.6
777,197.6,15799.1
778,197.6,15862.3
779,197.6,15920.3
780,198.0,15934.6
781,198.6,15948.5
782,199.0,15962.9
783,199.4,15976.5
784,200.0,15989.6
785,200.4,16015.9
786,200.8,16029.2
787,201.2,16042.4
788,201.6,16055.0
789,202.2,16067.8
790,202.6,16093.4
791,203.0,16106.2
792,203.4,16118.9
793,203.8,16131.6
794,204.2,16144.2
795,204.2,16206.7
796,204.2,16255.9
797,204.2,16327.1
798,204.6,16338.5
799,205.2,16349.7
800,205.6,16361.2
801,206.2,16372.7
802,206.6,16384.2
803,206.6,16396.2
804,206.6,16432.1
805,206.2,16455.8
806,205.8,16467.7
807,205.4,16479.4
808,205.0,16492.0
809,204.6,16503.8
810,204.6,16528.4
811,204.6,16589.2
812,204.6,16624.7
813,204.2,16659.6
814,203.8,16671.4
815,203.4,16682.7
816,203.0,16694.2
817,202.6,16705.7
818,202.6,16717.0
819,202.6,16786.2
820,202.6,16819.5
821,203.0,16863.8
822,203.4,16874.2
823,203.8,16884.8
824,204.2,16894.8
825,204.6,16905.1
826,205.0,16924.9
827,205.6,16934.3
828,206.0,16943.6
829,206.6,16952.8
830,207.4,16961.6
831,208.0,16970.2
832,208.8,16978.8
833,209.4,16987.0
834,210.0,16994.7
835,210.6,17002.1
836,211.2,17009.4
837,211.8,17016.5
838,212.4,17023.8
839,213.0,17031.4
840,213.6,17038.7
841,214.2,17046.3
842,214.2,17069.5
843,214.8,17120.1
844,215.2,17128.6
845,215.8,17137.1
846,216.2,17145.6
847,216.8,17153.8
848,217.2,17221.3
849,217.6,17229.6
850,218.0,17237.9
851,218.4,17245.8
852,218.8,17254.0
853,219.2,17261.9
854,219.8,17269.8
855,220.2,17277.6
856,220.8,17285.5
857,221.2,17293.1
858,221.6,17308.9
859,222.2,17316.7
860,222.6,17324.4
861,223.2,17331.9
862,223.6,17339.3
863,223.6,17354.3
864,224.0,17361.4
865,224.6,17368.8
866,225.0,17376.1
867,225.4,17383.5
868,225.8,17391.0
869,226.4,17436.3
870,226.8,17444.2
871,227.2,17452.6
872,227.8,17461.1
873,228.2,17470.2
874,228.2,17508.6
875,228.2,17573.1
876,228.2,17601.1
877,228.2,17661.6
878,228.2,17682.1
879,228.6,17711.3
880,229.0,17721.2
881,229.4,17731.2
882,230.0,17741.5
883,230.4,17751.2
884,230.4,17782.8
885,230.4,17847.0
886,230.8,17897.7
887,231.2,17908.2
888,231.6,17918.3
889,232.2,17929.3
890,232.6,17939.8
891,232.0,17984.9
892,231.6,17996.7
893,231.2,18009.1
894,230.6,18021.7
895,230.2,18033.5
896,229.8,18093.6
897,229.4,18106.0
898,229.0,18118.0
899,228.4,18130.6
900,228.0,18142.6
901,228.0,18213.9
902,228.0,18238.5
903,228.0,18300.6
904,228.6,18335.2
905,229.0,18345.8
906,229.6,18356.9
907,230.0,18367.7
908,230.6,18378.0
909,231.2,18388.6
910,231.8,18398.7
911,232.4,18409.4
912,233.2,18420.1
913,233.2,18430.7
914,233.2,18497.3
915,233.2,18542.3
916,233.2,18610.2
917,233.6,18621.3
918,234.0,18632.9
919,234.4,18644.1
920,234.8,18656.0
921,235.2,18667.6
922,235.2,18679.3
923,234.8,18728.8
924,234.4,18742.1
925,234.0,18755.1
926,233.6,18768.8
927,233.6,18782.0
928,233.2,18794.9
929,232.8,18808.0
930,232.4,18821.6
931,232.0,18834.8
932,231.6,18847.6
933,231.2,18860.2
934,231.6,18909.4
935,232.2,18922.1
936,232.6,18934.2
937,233.2,18946.7
938,233.6,18959.1
939,233.2,18999.6
940,232.6,19013.5
941,232.2,19027.0
942,231.8,19040.6
943,231.2,19054.5
944,230.8,19067.6
945,230.4,19081.0
946,230.0,19094.5
947,230.4,19107.1
948,230.6,19120.1
949,230.8,19133.7
950,231.2,19147.3
951,231.4,19160.3
952,231.4,19229.0
953,231.0,19270.5
954,230.4,19285.0
955,229.8,19298.8
